,Neutroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Novelty Seeking,Harm avoidance,Reward dependence,Persistence,Self-directedness,Cooperativeness,Self-transcendence,Primary Trait Dimensions,Folk Scales,Special Purpose Scales,Honesty-Humility,Emotionality,eXtraversion,Agreeableness,Concienciousness,Openness to Experience,Scales,Extraversion,Agreeableness,Independence,Openness to Experince,Methodicalness,Industriousness,Adjustment,Ambition,Sociability,Interpersonal Sensitivity,Prudence,Learning Approach
0,46,14,53,69,53,22,72,19,28,49,55,30,39,35,42,75,38,3,53,59,54,33,11,57,81,42,79,43,53,30,13,41,51,23
1,27,37,61,52,62,46,38,34,44,65,48,19,41,66,68,36,29,33,33,61,56,45,28,27,67,64,77,45,65,64,42,39,46,64
2,92,43,85,39,46,61,74,60,63,13,59,64,63,31,12,14,69,48,33,49,92,57,53,13,55,93,53,43,8,30,54,63,36,60
3,70,83,68,44,65,65,38,54,68,47,54,89,70,52,42,8,51,87,34,67,89,66,84,29,37,88,69,49,41,65,89,65,30,71
4,81,57,87,40,32,87,76,38,48,45,45,67,54,55,40,18,73,55,20,28,94,60,60,20,53,98,21,41,18,59,68,45,23,90
5,67,67,78,62,31,58,48,60,42,43,68,53,54,54,40,49,68,72,57,28,75,61,70,41,34,82,35,30,40,56,81,81,46,48
6,66,46,68,59,48,52,64,51,47,39,54,41,53,43,38,52,55,38,43,51,74,54,39,41,39,78,54,44,41,39,52,49,49,70
7,53,58,57,79,66,47,58,59,81,55,71,60,56,44,52,67,67,35,77,71,49,51,41,63,57,57,63,71,57,65,39,81,61,55
8,43,76,96,78,49,69,37,68,57,59,81,68,51,71,61,55,56,81,78,48,93,68,72,69,38,98,40,44,62,69,76,89,43,87
9,48,37,71,67,39,53,56,26,68,53,63,39,34,49,52,58,44,29,58,43,76,49,27,58,83,78,33,56,59,41,40,50,42,85
10,56,36,58,59,66,48,64,30,66,47,52,51,56,39,44,53,41,20,47,71,68,48,28,46,66,77,72,59,42,49,35,41,49,66
11,94,16,68,60,21,47,93,39,33,10,47,52,52,29,13,60,78,13,33,33,73,44,11,37,53,57,53,47,15,9,22,39,33,75
12,86,45,64,44,35,49,70,45,36,31,55,72,64,34,27,35,62,44,34,39,73,54,41,32,44,65,51,31,22,41,55,50,31,62
13,20,79,76,35,64,68,16,59,47,70,31,35,51,72,76,23,43,80,41,64,79,62,79,39,45,82,48,35,67,80,75,53,23,88
14,52,62,75,44,46,81,48,46,38,46,52,63,57,53,42,33,48,78,55,53,79,58,67,44,68,84,43,30,31,57,76,73,29,63
15,66,34,81,73,75,38,69,40,74,45,59,63,54,44,46,64,63,17,69,85,92,64,17,62,58,87,83,70,46,45,28,59,58,86
16,77,40,73,63,37,44,71,53,47,41,55,59,53,39,28,70,71,31,46,38,77,56,31,38,46,79,48,49,25,25,49,57,46,74
