Neutroticism:Anxiety,Neutroticism:Angry Hostility,Neutroticism:Depression,Neutroticism:Self-Consciousness,Neutroticism:Impulsiveness,Neutroticism:Vulnerability,Extraversion:Warmth,Extraversion:Gregariousness,Extraversion:Assertiveness,Extraversion:Activity,Extraversion:Excitement-Seeking,Extraversion:Positive Emotions,Openness:Fantasy,Openness:Aesthetics,Openness:Feelings,Openness:Actions,Openness:Ideas,Openness:Values,Agreeableness:Trust,Agreeableness:Straightforwardness,Agreeableness:Altruism,Agreeableness:Compliance,Agreeableness:Modesty,Agreeableness:Tender-Mindedness,Conscientiousness:Competence,Conscientiousness:Order,Conscientiousness:Dutifulness,Conscientiousness:Achievement Striving,Conscientiousness:Self-Discipline,Conscientiousness:Deliberation,Novelty Seeking:Exploratory Excitability,Novelty Seeking:Impulsiveness,Novelty Seeking:Extravagance,Novelty Seeking:Disorderliness,Harm avoidance:Worry & pessimism,Harm avoidance:Fear of uncertainty,Harm avoidance:Shyness with strangers,Harm avoidance:Fatigability & asthenia,Reward dependence:Sentimentality,Reward dependence:Warm communication,Reward dependence:Attachment,Reward dependence:Dependence,Persistence:Eagerness of effort,Persistence:Work hardened,Persistence:Ambitious,Persistence:Perfectionist,Self-directedness:Responsibility,Self-directedness:Purposefulness,Self-directedness:Resourcefulness,Self-directedness:Self-acceptance,Self-directedness:Enlightened second nature,Cooperativeness:Social acceptance,Cooperativeness:Empathy,Cooperativeness:Helpfulness,Cooperativeness:Compassion,Cooperativeness:Pure-hearted conscience,Self-transcendence:Self-forgetful,Self-transcendence:Transpersonal identification,Self-transcendence:Spiritual acceptance,Primary Trait Dimensions:Well-being,Primary Trait Dimensions:Social Potency,Primary Trait Dimensions:Achievement,Primary Trait Dimensions:Social Closeness,Primary Trait Dimensions:Stress Reaction,Primary Trait Dimensions:Aggression,Primary Trait Dimensions:Alienation,Primary Trait Dimensions:Control,Primary Trait Dimensions:Harm-avoidance,Primary Trait Dimensions:Traditionalism,Primary Trait Dimensions:Absorption,Folk Scales:Dominance,Folk Scales:Capacity for Status,Folk Scales:Sociability,Folk Scales:Social Presence,Folk Scales:Self-acceptance,Folk Scales:Independance,Folk Scales:Empathy,Folk Scales:Responsibility,Folk Scales:Socialization,Folk Scales:Self-control,Folk Scales:Good Impression,Folk Scales:Communality,Folk Scales:Well-being,Folk Scales:Tolerance,Folk Scales:Achievement via Conformance,Folk Scales:Achievement via Independence,Folk Scales:Intellectual Efficiency,Folk Scales:Psychological-mindedness,Folk Scales:Flexibility,Folk Scales:Femininity,Special Purpose Scales:Managerial Potential,Special Purpose Scales:Work Orientation,Special Purpose Scales:Creative Temperament,Special Purpose Scales:Leadership,Special Purpose Scales:Amicability,Special Purpose Scales:Law Enforcement Orientation,Special Purpose Scales:Tough-mindedness,Honesty-Humility:Sincerity,Honesty-Humility:Fairness,Honesty-Humility:Greed Avoidance,Honesty-Humility:Modesty,Emotionality:Fearfulness,Emotionality:Anxiety,Emotionality:Dependence,Emotionality:Sentimentality,eXtraversion:Expressiveness,eXtraversion:Social Boldness,eXtraversion:Sociability,eXtraversion:Liveliness,Agreeableness:Forgiveness,Agreeableness:Gentleness,Agreeableness:Flexibility,Agreeableness:Patience,Concienciousness:Organization,Concienciousness:Diligence,Concienciousness:Perfectionism,Concienciousness:Prudence,Openness to Experience:Aesthetic Appreciation,Openness to Experience:Inquisitiveness,Openness to Experience:Creativity,Openness to Experience:Unconventionality,Scales:Complexity,Scales:Breadth of Interest,Scales:Innovation,Scales:Tolerance,Scales:Empathy,Scales:Anxiety,Scales:Cooperativeness,Scales:Sociability,Scales:Social Confidence,Scales:Energy Level,Scales:Social Astuteness,Scales:Risk Taking,Scales:Organization,Scales:Traditional Values,Scales:Responsibility,Extraversion:Affiliation,Extraversion:Dominance,Extraversion:Exhibition,Agreeableness:Abasement,Agreeableness:Even-tempered,Agreeableness:Good-natured,Independence:Autonomy,Independence:Individualism,Independence:Self Reliance,Openness to Experince:Change,Openness to Experince:Understanding,Openness to Experince:Breadth of Interest,Methodicalness:Cognitive Structure,Methodicalness:Deliberativeness,Methodicalness:Order,Industriousness:Achievement,Industriousness:Endurance,Industriousness:Seriousness,Adjustment:Empathy,Adjustment:Not anxious,Adjustment:No guilt,Adjustment:Calmness,Adjustment:Even-tempered,Adjustment:No somatic complaints,Adjustment:Trusting,Adjustment:Good attachment,Ambition:Competitive,Ambition:Self confidence,Ambition:No depression,Ambition:Leadership,Ambition:Identity,Ambition:No social anxiety,Sociability:Likes parties,Sociability:Likes crowds,Sociability:Experience-seeking,Sociability:Exhibitionistic,Sociability:Entertaining,Interpersonal Sensitivity:Easy to live with,Interpersonal Sensitivity:Sensitive,Interpersonal Sensitivity:Caring,Interpersonal Sensitivity:Likes people,Interpersonal Sensitivity:No hostility,Prudence:Moralistic,Prudence:Mastery,Prudence:Virtuous,Prudence:Not autonomous,Prudence:Not spontaneous,Prudence:Impulse control,Prudence:Avoids trouble,Learning Approach:Education,Learning Approach:Math ability,Learning Approach:Good memory,Learning Approach:Reading
37,40,53,73,27,47,10,3,13,20,13,23,87,63,37,40,40,53,50,80,57,80,93,53,37,60,60,27,47,87,17,13,27,30,43,60,100,83,30,3,0,43,33,27,20,33,57,20,33,60,73,63,57,67,53,37,33,33,23,23,13,27,3,47,47,57,80,60,47,30,10,7,3,10,7,33,13,50,63,87,60,50,37,33,40,43,23,27,37,63,37,47,50,17,57,30,53,80,63,70,87,70,50,7,23,3,7,0,3,33,67,53,60,70,47,50,70,57,53,47,60,53,50,43,37,20,40,33,3,3,7,17,30,63,40,63,3,30,0,40,70,60,77,83,83,23,40,63,87,80,70,40,37,53,53,60,37,67,60,20,60,63,27,27,43,30,43,10,3,3,37,7,13,47,53,37,0,67,47,40,57,30,67,57,60,17,6,30,39
23,47,13,23,40,17,17,10,63,40,50,43,57,53,30,80,77,67,67,43,57,50,50,43,67,70,67,37,47,83,77,20,20,67,17,23,57,53,47,17,23,47,30,57,47,40,83,73,73,40,57,43,53,63,53,27,20,30,7,63,47,50,10,17,40,13,80,47,37,47,60,60,47,50,60,90,57,73,57,77,73,73,70,63,87,67,83,83,47,37,87,70,47,80,67,40,87,23,43,40,37,27,17,27,43,37,47,10,37,37,40,27,27,70,40,67,67,40,63,67,53,57,40,63,63,33,20,33,10,47,47,73,57,57,27,43,13,47,23,17,37,27,80,47,73,77,63,53,80,80,70,40,63,33,43,80,70,70,53,67,67,73,37,70,80,47,87,63,23,23,73,50,40,50,47,33,13,53,20,43,43,37,70,60,47,73,44,83,56
100,97,100,100,57,100,40,10,53,57,53,47,93,100,80,83,80,73,17,33,43,30,27,83,50,53,40,57,33,40,67,40,43,93,90,77,60,70,97,30,57,57,53,67,70,60,0,17,20,7,23,53,93,47,77,23,77,73,43,20,87,70,13,100,67,100,60,47,33,100,53,33,33,50,53,0,43,23,7,7,10,50,0,0,10,47,50,40,33,70,0,10,27,13,0,37,0,17,20,7,13,67,90,37,80,60,47,43,40,60,13,27,30,37,43,57,60,100,100,87,80,87,100,83,67,60,90,83,13,53,13,93,43,47,10,20,43,83,33,23,3,13,83,10,73,80,100,100,73,60,27,57,50,23,27,10,0,0,3,10,0,10,37,13,0,83,13,33,40,20,73,87,50,60,83,90,33,50,37,73,13,83,23,13,13,53,61,53,72
77,70,73,73,47,77,80,70,93,83,87,87,53,90,67,83,73,43,70,13,73,23,0,87,57,67,77,80,47,63,87,33,50,90,50,37,20,43,67,80,40,30,57,57,93,63,47,83,47,7,53,40,83,43,40,63,80,90,97,77,100,73,77,77,83,57,50,30,57,90,87,67,80,67,83,40,77,27,17,33,37,70,23,27,53,60,67,53,20,43,33,30,40,63,37,60,33,10,13,7,3,23,63,53,63,83,87,90,87,63,20,33,20,73,73,67,53,87,90,90,90,77,87,90,43,67,63,43,77,83,73,87,73,73,43,13,90,80,83,33,30,23,50,33,27,80,93,90,83,50,73,60,77,10,53,37,23,40,30,60,47,40,77,50,53,80,63,67,93,80,83,97,93,53,70,87,77,40,20,73,20,47,13,23,17,73,72,87,50
97,100,80,57,73,80,37,40,97,63,63,43,97,67,73,100,97,90,57,20,47,7,23,87,47,17,37,57,17,17,100,87,63,97,100,57,53,93,73,23,50,7,10,43,77,60,33,43,73,50,27,47,83,37,20,37,90,83,27,17,97,80,60,83,93,63,13,23,7,53,87,77,63,77,83,40,80,37,37,3,27,37,20,27,20,93,63,60,87,77,23,10,80,57,23,50,37,23,13,13,23,57,93,67,73,70,83,33,33,30,20,20,10,10,33,57,10,80,97,100,97,93,93,100,47,70,97,40,60,67,27,100,80,10,10,13,37,97,47,40,3,17,53,43,63,100,100,93,20,13,30,27,80,17,7,3,20,3,0,3,37,73,93,57,3,97,23,80,40,43,100,93,63,20,80,83,30,10,3,47,37,43,10,3,17,100,89,100,72
87,53,67,50,80,67,73,83,63,47,63,73,77,80,67,80,73,90,47,70,80,63,37,73,30,27,33,43,20,33,83,57,53,40,57,43,13,77,80,63,53,43,27,37,57,47,37,50,67,40,20,67,83,80,70,40,70,73,17,37,53,57,83,80,37,80,37,40,20,67,70,80,80,80,77,43,80,43,43,33,40,43,20,50,33,67,47,50,53,57,53,17,47,53,53,23,37,60,57,47,33,43,77,70,80,83,70,83,53,67,60,57,43,27,27,30,27,77,80,67,77,77,80,63,73,73,73,70,83,80,33,57,57,20,13,57,73,60,77,43,37,43,30,33,40,83,83,80,47,37,20,30,37,23,60,27,20,33,47,20,53,60,73,47,33,67,37,80,83,83,87,67,83,70,87,87,83,77,30,40,47,70,43,53,40,60,44,43,44
77,57,67,73,60,63,43,50,37,43,60,43,67,83,50,73,70,67,47,57,63,43,70,73,40,57,57,43,40,50,67,40,37,63,73,60,63,60,47,43,37,77,33,50,47,57,30,43,40,40,40,67,67,60,43,33,53,50,20,47,33,60,43,80,60,63,50,43,43,63,37,30,37,33,37,27,40,47,47,53,40,47,40,30,50,50,67,57,37,50,30,40,40,33,47,43,33,60,43,47,57,50,83,40,47,40,33,43,37,37,47,47,40,57,47,50,50,87,80,67,60,60,87,63,40,50,77,83,43,33,43,50,57,50,27,43,40,40,37,37,40,47,47,23,47,67,83,83,63,50,50,40,50,43,47,23,40,40,43,33,37,63,47,27,43,40,43,33,50,57,70,33,50,40,63,50,43,47,33,53,37,80,50,47,40,73,61,73,72
70,13,57,70,47,63,63,27,73,70,33,80,23,70,67,83,57,40,73,90,83,83,87,57,57,47,80,87,70,53,70,33,50,33,70,60,50,53,90,67,30,50,70,73,87,93,47,67,60,43,57,77,77,73,90,40,57,73,50,57,50,90,33,70,13,67,57,60,60,63,53,27,50,37,57,13,47,53,77,60,57,40,37,27,43,40,37,23,27,80,37,50,47,40,80,80,33,70,60,53,83,63,73,40,90,20,37,33,50,77,73,77,80,47,87,90,60,63,47,43,43,30,50,57,63,73,70,40,33,53,57,27,30,53,63,60,50,60,13,50,80,60,53,57,60,83,27,60,73,57,60,70,90,53,80,30,37,50,87,33,60,80,80,63,67,77,60,43,50,43,83,0,17,97,87,77,50,93,73,87,70,40,63,63,33,20,78,37,83
50,23,40,27,77,40,87,77,83,67,63,80,93,100,93,97,97,93,73,70,83,87,63,90,60,37,53,57,53,33,97,60,80,40,60,37,13,37,67,87,80,37,40,57,67,63,63,57,77,63,33,87,97,87,80,53,77,93,33,63,57,73,90,50,23,40,33,47,17,67,83,73,83,73,87,63,87,80,70,53,53,70,60,70,47,77,80,77,73,53,63,47,53,57,77,67,60,70,53,50,47,43,50,60,70,90,77,83,73,73,80,77,80,40,53,63,37,100,97,93,83,100,100,90,83,80,53,37,90,87,73,60,50,37,30,53,87,63,67,57,83,67,23,50,40,93,100,100,40,33,47,50,70,13,67,47,60,57,77,57,67,67,80,73,53,73,53,83,83,80,97,37,83,77,97,97,93,83,27,43,70,47,30,33,53,83,89,93,83
57,27,60,53,43,50,23,10,27,47,67,47,83,70,40,73,73,87,60,70,57,87,63,67,33,43,40,43,43,30,70,70,30,40,63,40,87,33,53,20,17,13,77,80,60,53,60,33,47,70,57,73,53,83,67,37,47,57,13,37,27,67,17,53,23,37,30,17,23,43,27,20,17,30,27,23,30,80,57,43,70,73,50,70,47,80,63,63,73,40,60,50,63,23,73,47,50,83,47,50,50,37,70,17,53,37,27,10,43,40,73,57,60,30,53,57,30,70,87,77,70,77,70,80,53,40,67,30,17,13,80,30,80,30,23,47,20,40,20,43,73,57,83,80,87,73,87,73,40,30,30,70,80,17,50,33,50,60,73,53,83,70,57,33,50,50,33,20,23,23,73,20,63,63,53,40,13,80,43,67,60,17,47,20,43,83,89,83,83
57,63,53,63,53,47,23,17,50,43,53,30,53,90,47,70,60,27,47,50,47,67,87,53,63,73,70,67,63,60,67,27,33,63,70,40,87,60,33,13,33,40,57,67,70,70,40,53,57,37,50,53,43,43,63,57,50,37,67,40,47,70,23,67,53,57,70,47,77,67,43,23,27,33,33,40,30,47,43,50,33,53,37,27,40,43,53,50,23,50,33,43,40,40,47,67,40,50,43,50,67,43,63,27,30,20,30,10,20,43,50,47,47,70,70,70,73,90,73,63,47,50,90,63,30,27,60,30,23,23,40,47,57,70,67,43,13,60,10,43,47,47,63,67,67,67,77,87,80,70,67,67,70,40,37,40,37,63,37,27,37,57,63,50,37,57,50,37,23,27,70,13,40,50,43,40,13,57,53,77,53,33,50,47,33,60,56,70,78
97,73,97,97,100,97,20,0,3,20,40,13,70,77,63,27,83,90,23,67,57,67,63,80,13,20,20,13,7,53,30,27,83,47,100,83,90,97,87,7,20,40,3,50,33,47,3,3,20,20,3,37,73,57,40,27,80,73,3,0,13,63,23,97,57,97,57,60,23,83,7,13,3,27,7,0,33,67,30,30,10,23,3,20,47,60,50,30,53,67,20,3,30,3,20,10,3,67,47,57,67,80,100,43,90,23,17,10,3,13,43,30,47,10,17,60,43,73,80,57,83,80,63,63,20,80,97,77,23,10,0,43,40,7,17,47,10,7,17,37,47,27,63,30,67,33,60,77,80,57,23,20,60,60,13,3,3,23,27,0,27,23,17,0,7,7,20,3,10,3,33,33,33,23,73,67,10,23,13,43,40,77,13,33,13,63,89,77,72
100,80,90,87,63,93,47,20,47,53,57,47,80,83,70,57,77,17,33,43,50,37,37,63,37,33,50,27,17,43,57,43,27,67,80,53,80,67,37,27,60,57,17,37,43,47,17,53,27,27,30,47,50,53,67,60,80,57,80,47,53,60,50,97,63,90,47,30,80,83,47,30,33,40,43,13,47,33,27,17,33,43,10,17,33,43,43,27,40,67,20,27,47,30,23,30,10,50,23,33,33,53,93,60,43,60,53,30,33,63,23,30,20,27,23,60,47,70,57,87,77,43,60,87,47,63,97,77,50,27,40,50,63,23,63,23,37,53,33,57,13,27,57,43,33,60,63,73,70,47,37,23,57,13,27,3,10,10,20,30,23,50,57,27,23,63,43,30,30,33,70,67,73,53,43,53,37,63,23,43,23,77,20,20,13,60,61,70,56
17,43,7,27,13,10,60,80,93,80,83,77,87,53,63,83,93,77,57,10,53,17,27,43,90,80,60,53,57,43,67,73,43,90,13,13,10,27,67,63,77,30,27,60,57,43,57,80,90,37,87,20,63,23,20,30,53,30,23,80,83,43,87,30,83,40,40,13,7,50,93,87,93,87,93,97,93,63,43,57,87,90,73,23,47,73,90,73,67,7,77,90,70,83,60,73,77,27,27,27,10,13,13,77,67,77,90,80,73,37,43,40,43,80,40,83,53,70,87,67,90,97,73,67,40,73,13,30,87,90,73,90,90,63,13,27,73,87,77,40,53,23,40,47,47,80,93,73,23,40,80,27,57,20,70,87,73,80,57,90,23,53,73,93,77,87,57,93,77,77,77,60,83,20,67,83,73,23,7,37,27,37,43,10,3,90,89,90,83
50,63,57,37,53,50,50,43,63,63,80,73,53,70,87,87,67,87,40,30,73,37,27,57,60,53,50,37,40,33,87,67,90,80,57,27,33,73,80,50,37,17,27,30,40,53,43,47,50,57,33,53,80,50,47,30,90,87,13,50,83,47,40,67,73,90,37,30,27,87,80,87,70,97,90,50,87,33,10,33,17,50,13,33,23,67,50,40,67,57,20,10,77,50,30,70,37,37,33,33,27,43,43,37,70,87,87,63,73,57,50,70,43,53,40,67,50,67,90,80,77,80,73,70,73,80,53,13,40,87,30,87,73,40,33,33,57,80,63,47,17,67,67,77,60,77,97,77,40,37,53,13,47,30,50,47,13,27,37,23,33,17,50,60,27,80,37,90,67,60,90,67,97,67,80,97,43,77,20,50,33,23,23,37,20,87,33,93,39
90,43,70,77,47,70,30,7,37,43,37,47,90,90,63,77,97,67,63,57,87,73,83,73,67,87,83,63,83,67,70,17,20,43,63,77,87,47,87,17,7,47,67,80,63,87,40,53,50,33,50,70,90,53,40,43,70,80,40,33,30,87,13,90,47,67,80,57,27,67,27,30,30,37,33,27,47,63,80,57,40,40,17,20,63,63,60,43,30,77,17,20,57,63,50,87,27,63,67,63,63,73,83,23,73,10,27,7,23,33,87,73,83,87,87,83,83,87,87,97,97,100,90,100,50,63,80,80,13,30,43,53,40,87,60,67,17,33,0,43,77,67,67,37,70,73,97,90,83,80,87,80,87,43,80,20,17,27,57,27,50,87,50,47,50,23,53,47,17,17,73,3,30,53,90,77,7,67,37,87,60,73,50,67,30,83,72,93,94
90,70,83,73,57,87,43,40,23,33,60,40,67,87,70,83,70,63,47,57,80,50,63,80,23,27,53,37,20,60,77,37,17,43,90,43,67,83,83,40,40,47,23,57,53,53,37,17,43,73,37,53,87,57,37,43,70,63,43,17,13,67,53,80,73,67,57,37,37,77,20,23,20,37,23,13,40,70,40,43,40,43,20,50,33,63,50,47,57,50,23,27,50,10,27,27,30,77,57,77,67,43,90,70,80,30,20,53,20,43,57,43,40,20,37,53,43,80,77,80,70,60,70,83,50,77,90,67,53,27,27,43,60,23,47,57,47,17,30,37,33,43,53,47,37,83,73,80,63,57,23,33,57,57,23,10,20,13,30,10,43,50,43,17,13,23,33,20,50,40,77,27,53,43,80,77,47,40,20,57,47,70,37,47,47,70,78,70,78
23,27,30,27,60,20,13,17,43,30,47,30,73,70,23,73,73,43,50,90,63,83,83,77,60,47,50,37,50,73,63,20,47,23,27,43,77,83,37,3,0,23,33,70,43,50,77,50,60,67,53,80,67,77,83,73,47,40,73,43,30,57,7,27,27,30,77,60,50,67,47,40,27,43,43,63,47,70,77,83,53,57,67,53,67,73,73,70,50,43,47,57,57,43,73,43,73,87,80,70,83,47,23,3,30,33,40,20,17,67,80,73,80,47,47,60,67,63,73,57,70,67,70,60,57,10,23,17,7,30,10,20,33,37,77,80,10,40,17,63,77,70,90,87,80,73,63,77,80,77,50,43,67,40,77,77,67,83,73,27,63,60,43,60,60,53,70,43,30,33,77,10,23,60,67,50,10,80,53,50,67,17,70,70,67,67,83,80,83
83,63,83,80,73,80,10,13,27,17,50,17,63,80,53,80,83,73,37,67,63,83,80,77,43,47,57,23,40,40,70,47,37,50,87,53,97,93,57,17,20,60,37,70,27,47,23,30,40,37,27,53,77,73,77,27,50,53,23,20,37,57,13,87,33,70,43,33,33,33,20,10,13,13,17,17,20,53,43,47,23,50,17,27,47,67,57,50,53,47,20,17,47,20,40,47,17,57,50,50,63,47,80,40,57,3,13,3,7,57,60,53,60,50,40,63,40,80,90,63,60,73,73,60,60,57,83,63,13,13,10,40,53,40,50,50,7,50,0,50,47,43,53,43,73,83,87,80,60,43,53,27,60,37,37,17,17,47,37,3,40,50,40,30,20,40,37,20,17,23,80,7,10,63,73,47,3,60,47,37,73,67,67,57,43,73,72,83,83
53,60,57,67,63,70,80,47,60,73,60,80,77,70,57,73,57,53,57,27,90,57,43,47,70,37,53,60,63,50,60,37,40,57,10,33,67,33,77,50,40,50,83,90,70,70,60,67,67,20,27,37,83,47,30,40,97,83,73,70,70,83,57,50,73,73,67,53,57,70,53,27,43,47,40,43,37,57,47,20,30,67,17,23,47,37,60,40,57,57,30,30,43,40,50,60,20,40,57,40,33,37,30,33,57,53,47,63,67,40,60,33,57,27,57,53,63,70,73,60,70,60,80,70,33,43,37,43,57,33,70,63,50,33,60,57,77,60,57,7,40,20,63,50,53,70,70,80,67,67,20,73,67,20,73,63,17,30,40,67,47,63,60,57,40,60,47,33,63,60,73,47,73,77,77,97,60,50,73,60,77,47,17,33,27,67,100,63,94
70,67,50,63,80,50,47,23,60,53,57,40,93,100,60,83,83,60,37,50,63,40,33,87,43,60,57,53,47,57,83,33,77,60,73,50,63,77,77,23,30,43,40,60,60,63,23,40,63,37,27,60,97,60,50,57,90,87,50,37,67,57,53,77,53,77,63,50,40,73,57,60,53,57,57,50,57,67,47,37,20,50,27,33,47,67,73,57,43,53,37,23,53,53,50,43,37,53,57,40,30,57,73,53,77,47,53,33,40,50,43,37,43,60,57,80,67,100,97,90,83,83,97,80,53,67,67,37,53,47,23,67,53,50,50,57,40,67,50,27,40,27,57,40,27,70,93,100,73,63,60,43,60,23,37,33,27,33,33,23,33,37,50,53,30,63,40,67,33,33,83,60,43,50,97,87,37,47,33,53,47,47,17,37,27,77,44,93,61
43,33,33,50,40,10,13,0,33,57,23,7,93,80,53,60,100,87,47,60,67,80,80,80,63,73,80,70,83,80,47,7,43,47,53,77,100,17,83,3,7,20,80,63,73,80,50,53,63,50,60,77,83,60,80,20,83,67,17,57,17,83,0,53,20,47,90,80,23,83,13,20,0,20,13,60,20,70,67,77,70,57,47,43,83,53,73,57,30,67,63,47,50,60,50,63,67,60,57,83,80,67,57,10,70,30,13,0,30,73,87,73,83,73,80,77,87,83,80,87,97,93,87,87,67,53,47,33,0,0,67,50,23,73,27,57,0,17,0,57,87,63,100,73,90,43,97,87,90,90,77,87,87,50,73,53,47,77,67,70,40,53,40,67,70,13,73,20,3,3,40,10,37,70,80,63,0,73,43,80,63,33,37,67,33,83,67,97,89
63,30,47,30,43,53,33,17,53,60,40,43,77,70,57,73,80,63,83,80,83,80,83,57,63,40,70,53,43,50,67,53,3,43,40,50,77,47,67,27,30,30,40,70,53,50,73,70,40,87,53,70,63,80,77,53,37,47,37,77,37,53,27,50,17,13,50,40,33,73,63,23,33,33,47,47,47,67,33,47,67,83,57,67,80,73,83,83,63,37,57,60,53,53,60,57,50,83,47,67,77,40,43,57,63,47,47,10,50,50,53,60,63,40,53,83,60,73,83,63,70,80,80,67,70,53,57,37,27,33,53,23,53,43,33,47,20,43,17,40,60,53,70,73,43,73,83,80,57,50,57,37,70,20,70,43,57,70,70,67,73,63,43,57,70,60,83,37,23,23,73,17,33,70,63,50,13,80,43,60,43,43,47,37,40,67,56,80,67
83,80,70,73,53,73,53,60,50,47,67,53,53,77,50,57,30,43,30,47,57,40,33,63,50,53,63,37,47,50,57,40,53,47,70,60,63,73,63,40,40,60,40,57,47,63,17,37,43,30,43,30,80,33,27,57,70,83,70,37,57,63,67,83,70,83,53,47,67,67,47,50,43,57,53,30,40,53,47,20,20,33,23,20,30,20,40,23,33,63,20,33,37,37,33,50,27,43,47,23,23,60,70,73,67,57,53,60,43,40,50,33,43,53,53,63,57,73,43,67,53,33,60,67,23,60,70,70,67,43,33,57,50,50,53,47,60,57,43,23,30,23,37,27,33,50,37,63,73,53,50,43,53,30,47,30,23,17,20,23,20,57,53,40,17,67,33,50,60,60,60,63,47,60,73,77,47,23,40,53,53,70,30,23,30,53,44,60,61
17,27,57,47,17,40,70,40,90,90,53,80,47,100,80,87,87,57,60,83,90,93,27,83,60,73,83,73,83,73,90,30,33,30,37,20,23,20,80,73,57,63,80,70,73,53,63,77,77,70,80,70,87,90,83,87,63,93,80,67,70,57,63,30,23,50,70,40,47,53,90,73,80,73,93,63,80,90,83,67,77,93,50,80,73,73,67,67,40,23,67,47,60,63,67,80,57,73,77,40,27,17,30,33,80,87,87,50,93,83,87,80,80,87,80,60,77,97,93,93,63,73,97,93,77,90,23,30,63,90,87,43,53,87,70,77,67,70,73,70,77,80,27,53,27,90,97,93,70,70,87,70,70,27,70,77,50,53,73,73,67,90,73,53,53,80,77,80,53,43,90,73,80,97,90,87,57,87,63,57,93,33,50,63,67,87,67,97,72
67,67,63,57,23,63,37,10,50,53,50,50,73,93,67,67,77,47,50,73,70,90,77,80,67,83,87,63,70,60,67,33,13,43,57,43,60,53,70,43,43,40,63,77,63,70,40,57,47,53,67,70,80,73,90,70,70,70,77,60,43,70,23,70,40,63,67,33,37,80,47,37,43,43,50,30,60,63,57,60,43,63,30,30,50,70,67,53,27,47,30,43,57,40,47,70,33,63,70,63,73,40,57,40,70,53,43,23,50,70,67,60,60,90,77,70,73,93,80,80,87,83,93,83,53,63,63,33,23,50,43,53,57,83,60,70,30,47,30,63,50,50,73,73,47,70,83,90,70,67,77,60,63,30,50,37,30,43,33,37,37,63,57,53,43,43,57,47,37,27,70,23,73,77,83,70,27,83,53,70,60,30,43,53,40,80,83,77,78
100,87,63,63,63,80,40,10,83,73,20,33,80,70,53,47,73,63,47,80,63,47,80,37,70,53,63,80,53,73,30,10,47,33,77,73,67,37,37,10,47,50,70,67,77,67,33,57,40,50,33,60,53,43,70,50,73,50,43,70,53,67,30,80,47,37,77,70,40,57,77,37,50,30,63,37,53,50,60,57,20,50,37,30,60,43,77,63,43,80,40,33,33,60,43,67,30,77,70,63,70,73,93,53,27,60,57,20,53,47,30,37,30,47,77,87,70,87,77,87,77,80,90,83,57,33,97,53,30,47,60,17,17,50,47,70,27,67,10,30,7,30,73,73,53,40,87,83,87,77,53,60,87,67,23,3,37,17,13,67,20,70,63,53,43,83,57,53,10,10,47,13,50,60,43,53,20,57,53,83,27,53,57,90,47,77,39,97,67
47,40,47,20,53,27,67,37,63,63,57,83,63,73,80,80,40,70,47,70,70,70,77,63,63,73,73,57,70,57,70,40,50,33,50,27,23,30,70,80,80,40,60,67,57,60,60,63,67,67,47,63,80,77,50,50,67,77,43,63,37,63,47,50,20,50,63,47,40,80,63,60,70,70,70,60,67,57,60,67,40,57,57,63,57,53,47,57,50,37,60,43,43,57,53,63,63,63,80,77,60,30,47,37,67,80,53,57,70,40,60,53,47,80,60,70,67,67,53,67,60,53,70,77,67,63,53,30,47,70,73,53,40,70,57,80,63,43,57,40,60,50,67,67,60,77,43,73,67,63,80,63,67,43,50,47,57,67,60,57,53,53,63,73,53,47,70,70,60,43,73,23,83,57,80,70,67,60,50,53,47,30,50,73,47,43,72,53,78
